Date,Price,Open,High,Low,Vol.,Change %
"Jun 13, 2018","43,507.50","43,217.20","43,589.72","43,217.20",72.36M,0.64%
"Jun 12, 2018","43,228.90","43,893.15","43,968.33","43,143.00",86.90M,-1.60%
"Jun 11, 2018","43,931.16","44,046.00","44,244.07","43,838.17",104.45M,-0.04%
"Jun 07, 2018","43,948.11","44,178.85","44,332.86","43,894.34",169.88M,-0.44%
"Jun 06, 2018","44,144.20","43,767.67","44,170.72","43,679.68",158.93M,1.01%
"Jun 05, 2018","43,702.58","43,295.58","43,747.18","43,197.44",122.61M,1.00%
"Jun 04, 2018","43,268.29","42,903.41","43,293.91","42,832.94",73.12M,0.83%
"Jun 01, 2018","42,912.81","42,780.91","42,969.38","42,749.42",38.55M,0.15%
"May 31, 2018","42,846.64","42,574.60","42,919.72","42,496.37",98.88M,0.71%
"May 30, 2018","42,546.48","42,667.17","42,773.81","42,337.51",84.02M,-0.18%
"May 29, 2018","42,622.74","42,146.76","42,667.69","42,112.75",67.53M,1.15%
"May 28, 2018","42,138.57","42,051.93","42,543.27","41,872.34",85.25M,0.15%
"May 25, 2018","42,074.09","42,549.15","42,570.77","42,000.47",63.10M,-1.09%
"May 24, 2018","42,536.16","42,776.83","42,838.15","42,446.82",68.99M,-0.55%
"May 23, 2018","42,772.25","42,794.31","43,060.68","42,676.51",76.69M,0.06%
"May 22, 2018","42,744.82","41,657.60","42,770.41","41,657.60",92.27M,2.63%
"May 21, 2018","41,648.65","41,721.39","41,912.68","41,591.44",52.32M,0.06%
"May 18, 2018","41,623.52","41,886.77","41,974.35","41,458.12",55.39M,-0.59%
"May 17, 2018","41,869.65","42,272.84","42,277.00","41,833.60",33.40M,-1.02%
"May 16, 2018","42,301.20","42,467.22","42,579.81","42,198.84",39.63M,-0.37%
"May 15, 2018","42,459.53","42,478.99","42,608.08","41,845.31",111.34M,-0.09%
"May 14, 2018","42,498.86","43,543.08","43,543.08","42,431.44",97.49M,-2.51%
"May 11, 2018","43,594.79","43,869.07","44,027.58","43,550.68",86.30M,-0.60%
"May 10, 2018","43,855.78","43,877.06","44,139.12","43,735.44",74.29M,0.14%
"May 09, 2018","43,795.00","44,163.86","44,249.13","43,386.63",80.67M,-0.62%
"May 08, 2018","44,066.96","44,364.02","44,440.10","43,925.64",80.07M,-0.70%
"May 07, 2018","44,378.52","44,546.19","44,763.37","44,321.88",59.94M,-0.36%
"May 04, 2018","44,536.91","44,750.79","44,785.32","44,467.44",68.78M,-0.47%
"May 03, 2018","44,746.63","45,214.42","45,259.77","44,556.18",73.75M,-1.00%
"May 02, 2018","45,196.37","45,471.74","45,484.39","45,160.64",64.76M,-0.64%
"Apr 30, 2018","45,488.86","45,752.81","45,841.40","45,424.87",155.96M,-0.12%
"Apr 27, 2018","45,542.78","45,470.35","45,671.76","45,458.25",98.49M,0.18%
"Apr 26, 2018","45,460.87","45,769.04","45,780.94","45,427.19",86.79M,-0.56%
"Apr 25, 2018","45,718.34","45,885.72","45,942.10","45,681.74",104.64M,-0.35%
"Apr 24, 2018","45,876.70","45,426.10","45,911.61","45,409.50",84.50M,1.11%
"Apr 23, 2018","45,371.95","45,235.40","45,452.98","45,191.00",61.79M,0.25%
"Apr 20, 2018","45,259.34","45,400.36","45,525.73","45,153.92",57.83M,-0.28%
"Apr 19, 2018","45,387.77","45,460.80","45,492.33","45,122.75",111.17M,-0.20%
"Apr 18, 2018","45,478.63","45,835.14","46,003.96","45,423.95",85.23M,-0.71%
"Apr 17, 2018","45,801.73","45,690.11","45,881.84","45,484.94",73.71M,0.26%
"Apr 16, 2018","45,682.24","46,095.83","46,095.83","45,610.22",68.26M,-0.85%
"Apr 13, 2018","46,071.86","46,310.41","46,349.69","46,036.23",105.27M,-0.56%
"Apr 12, 2018","46,331.71","46,576.74","46,577.98","46,219.85",153.29M,-0.33%
"Apr 11, 2018","46,486.49","46,557.41","46,759.47","46,472.15",106.35M,0.02%
"Apr 10, 2018","46,476.73","46,599.81","46,679.69","46,407.10",74.86M,-0.22%
"Apr 09, 2018","46,580.62","46,652.16","46,828.20","46,530.06",100.59M,-0.12%
"Apr 06, 2018","46,637.62","46,783.54","47,144.12","46,542.82",136.41M,0.16%
"Apr 05, 2018","46,560.82","46,325.39","46,656.93","46,085.10",113.58M,0.99%
